name,label,type,group,classification,sanitization_reason,description
security_form_request_type,Security Questionnaire and SOC 2,enumeration,gij,KEEP,,Denoted if the contact is interested in receiving our SOC2 report and if they want us to complete their custom security form questionnaire. Letting us know if we need to send an NDA and then follow up
si_jira_issue_id,Jira issue ID,string,si_jira_integration,KEEP,,ID of the Jira issue the ticket is attached to
si_jira_issue_key,Jira issue identifier,string,si_jira_integration,KEEP,,Key of the Jira issue the ticket is attached to
si_jira_issue_priority,Jira issue priority,string,si_jira_integration,KEEP,,Priority of the Jira issue the ticket is attached to
si_jira_issue_status,Jira issue status,string,si_jira_integration,KEEP,,Status of the Jira issue the ticket is attached to
hs_added_to_waitlist_at,Added to waitlist at,string,ticket_activity,KEEP,,Time the ticket was added to the waitlist
hs_all_conversation_mentions,All conversation mentions,enumeration,ticket_activity,KEEP,,All mentioned users on the associated conversations
hs_assignment_method,Assignment Method,enumeration,ticket_activity,KEEP,,defines how the Object Assignment is done
hs_draft_user_ids,Draft UserIds,enumeration,ticket_activity,KEEP,,The ids of the users that have open drafts on this ticket.
hs_feedback_last_nps_rating_number,Latest NPS survey rating,number,ticket_activity,KEEP,,Latest NPS rating rolled up from associated feedback submission
hs_in_waitlist,In Waitlist,bool,ticket_activity,KEEP,,"Is ticket in a waitlist, to be assigned when users are able to work the ticket"
hs_last_closed_date,Last Closed Date,datetime,ticket_activity,KEEP,,The date when ticket was last closed
hs_last_csat_date,Last CSAT survey date,datetime,ticket_activity,KEEP,,The time that this contact last submitted a CSAT survey response.
hs_last_csat_rating,Last CSAT survey rating,string,ticket_activity,KEEP,,Last CSAT rating rolled up from associated feedback submission
hs_lastmodifieddate,Last modified date,datetime,ticket_activity,KEEP,,"Most recent timestamp of any property update for this ticket. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically."
hs_mentioned_note_user_ids,mentioned_note_user_ids,enumeration,ticket_activity,KEEP,,All mentioned users on the ticket notes
hs_mentions_resolved_user_ids,hs_mentions_resolved_user_ids,enumeration,ticket_activity,KEEP,,All resolved user ids mentioned on associated conversations and notes
hs_mentions_user_ids,mentions_user_ids,enumeration,ticket_activity,KEEP,,All user ids mentioned on associated conversations and notes
hs_retroactive_sla_update_at,Retroactive SLA update at,datetime,ticket_activity,KEEP,,This property is a trigger for updating SLAs for the ticket. Activity hereof will be picked up by the SLAs system for processing.
hs_seen_by_agent_ids,Users interaction,enumeration,ticket_activity,KEEP,,Stores a list of users who have viewed the most recent interaction on a ticket
hs_snoozed_by_user_ids,Snoozed by,enumeration,ticket_activity,KEEP,,Stores a list of users who have currently snoozed this ticket. This value is set automatically by HubSpot.
hs_snoozed_for_portal,Portal-wide snooze,bool,ticket_activity,KEEP,,Indicates whether this ticket is snoozed for all users in your account. This value is automatically set by HubSpot.
hs_ticket_reopened_at,Ticket reopen date,datetime,ticket_activity,KEEP,,Date when the ticket was re-opened
hs_waitlist_routing_targets,Waitlist routing targets,string,ticket_activity,KEEP,,Describe the targets to which the waitlist is attempting to assign the object.
hs_waitlist_sort_value,Waitlist sort value,datetime,ticket_activity,KEEP,,"Datetime for sorting waitlist objects. Prioritizes sla ttfr. If not present, then sorts by time added to waitlist. The magic number is roughly 20 years."
jut_reviewed,JUT reviewed,enumeration,ticket_activity,KEEP,,Used to mark Jira Update Tickets as reviewed
hs_ticket_language_ai_tag,Language,enumeration,ticket_ai_enrichment,KEEP,,Language identified by AI based on the visitor's messages within a ticket.
ai_agent_actions_rejected,AI_Agent_Actions_Rejected,enumeration,ticketinformation,KEEP,,
ai_handled,AI_Handled,enumeration,ticketinformation,KEEP,,
application,Application,enumeration,ticketinformation,KEEP,,Name of the application that the ticket is related to (initially designed for Jira/GIJ apps)
associated_issue_id,Associated Issue ID,string,ticketinformation,KEEP,,Unique ID from the related issue tracker (at creation this is the Linear issue ID)
closed_date,Close date,datetime,ticketinformation,KEEP,,The date the ticket was closed
created_by,Created by,number,ticketinformation,KEEP,,VID of contact that created the ticket
createdate,Create date,datetime,ticketinformation,KEEP,,The date the ticket was created
escalated___watched,Escalated / Watched,enumeration,ticketinformation,KEEP,,This field is used to denote tickets that need special attention or need to be viewed independently of the normal queues and statuses.
first_agent_reply_date,First agent email response date,datetime,ticketinformation,KEEP,,The date of the first email response from an agent after a ticket was created
gij_cloud_app_information,GIJ Cloud App Information,string,ticketinformation,KEEP,,GIJ Cloud App Information
gij_edition,GIJ_Edition,enumeration,ticketinformation,KEEP,,
gij_git_service_provider,GIJ Git Service Provider,enumeration,ticketinformation,KEEP,,Used to keep track of issue for specific Git Service Providers
gij_server,GIJ Server,enumeration,ticketinformation,KEEP,,"Yes/No selection to mark if a GIJ client is using Server, or not."
gkversion,GKVersion,enumeration,ticketinformation,KEEP,,Version the user is on
hs_all_accessible_team_ids,All teams,enumeration,ticketinformation,KEEP,,"The team IDs, including the team hierarchy, of all default and custom owner properties for this record."
hs_all_assigned_business_unit_ids,Brands,enumeration,ticketinformation,KEEP,,The brands this record is assigned to.
hs_all_owner_ids,All owner IDs,enumeration,ticketinformation,KEEP,,Values of all default and custom owner properties for this record.
hs_all_team_ids,All team IDs,enumeration,ticketinformation,KEEP,,The team IDs of all default and custom owner properties for this record.
hs_all_topics_added_by_user,All topics added by user,enumeration,ticketinformation,KEEP,,A list of all distinct topics added to the ticket by a user
hs_all_topics_mentioned,All topics mentioned,enumeration,ticketinformation,KEEP,,"List of all the distinct topics related to any mention in email, chat, call etc within the ticket"
hs_all_topics_removed_by_user,All topics removed by user,enumeration,ticketinformation,KEEP,,A list of all distinct topics removed from the ticket by a user
hs_applied_sla_rule_config_at,Applied SLA Rule Config Date,datetime,ticketinformation,KEEP,,Timestamp the current SLA Rule Config was applied to the ticket
hs_applied_sla_rule_config_id,Applied SLA Rule Config ID,number,ticketinformation,KEEP,,Reference to the SLA rule that was applied to this ticket
hs_applied_sla_schedule_at,Applied SLA Schedule Date,datetime,ticketinformation,KEEP,,The date at which the current SLA schedule was applied to the ticket.
hs_applied_sla_schedule_id,Applied SLA Schedule Id,number,ticketinformation,KEEP,,The id of the SLA schedule currently applied to the ticket.
hs_assigned_team_ids,Assigned Teams,enumeration,ticketinformation,KEEP,,The target main teams or the user's main team assigned to the ticket by automatic assignment.
hs_auto_generated_from_thread_id,Auto-generated from thread id,number,ticketinformation,KEEP,,Thread that this ticket was automatically created for using ticket rules
